timestamp,action,symbol,direction,price,pnl,pnl_percent,reason
2025-11-06T10:00:00,OPEN,BTCUSDT,LONG,45000.00,,,
2025-11-06T14:00:00,CLOSE,BTCUSDT,LONG,46350.00,27.00,1.35,tp
2025-11-06T10:00:00,OPEN,ETHUSDT,SHORT,2500.00,,,
2025-11-06T14:00:00,CLOSE,ETHUSDT,SHORT,2437.50,25.00,1.25,tp
2025-11-06T14:00:00,OPEN,BNBUSDT,LONG,300.00,,,
2025-11-06T18:00:00,CLOSE,BNBUSDT,LONG,291.00,-8.70,-0.87,sl
2025-11-06T14:00:00,OPEN,SOLUSDT,LONG,100.00,,,
2025-11-06T18:00:00,CLOSE,SOLUSDT,LONG,103.50,3.50,0.35,tp
2025-11-06T18:00:00,OPEN,ADAUSDT,LONG,0.50,,,
2025-11-06T22:00:00,CLOSE,ADAUSDT,LONG,0.5125,2.50,0.25,tp
2025-11-06T18:00:00,OPEN,DOTUSDT,SHORT,7.50,,,
2025-11-06T22:00:00,CLOSE,DOTUSDT,SHORT,7.425,10.00,1.00,tp
2025-11-06T22:00:00,OPEN,MATICUSDT,LONG,0.80,,,
2025-11-07T02:00:00,CLOSE,MATICUSDT,LONG,0.776,-2.40,-0.24,sl
2025-11-06T22:00:00,OPEN,LINKUSDT,LONG,15.00,,,
2025-11-07T02:00:00,CLOSE,LINKUSDT,LONG,15.45,3.00,0.30,tp
2025-11-07T02:00:00,OPEN,AVAXUSDT,LONG,35.00,,,
2025-11-07T06:00:00,CLOSE,AVAXUSDT,LONG,35.875,2.50,0.25,tp
2025-11-07T02:00:00,OPEN,UNIUSDT,SHORT,6.00,,,
2025-11-07T06:00:00,CLOSE,UNIUSDT,SHORT,5.94,10.00,1.00,tp
2025-11-07T06:00:00,OPEN,ATOMUSDT,LONG,10.00,,,
2025-11-07T10:00:00,CLOSE,ATOMUSDT,LONG,9.70,-2.91,-0.29,sl
2025-11-07T06:00:00,OPEN,XRPUSDT,LONG,0.60,,,
